iter	Passed	Remaining
0	1	171
1	3	157
2	4	147
3	5	135
4	7	143
5	8	139
6	10	136
7	11	134
8	13	135
9	14	134
10	16	131
11	17	129
12	19	127
13	20	127
14	22	125
15	23	123
16	25	122
17	27	124
18	28	123
19	30	121
20	31	119
21	33	117
22	35	118
23	38	122
24	39	119
25	41	117
26	42	115
27	45	116
28	46	114
29	49	115
30	51	113
31	52	111
32	53	109
33	54	106
34	56	105
35	58	103
36	59	101
37	61	99
38	62	98
39	64	96
40	65	94
41	66	91
42	67	89
43	68	87
44	69	85
45	71	83
46	73	82
47	75	81
48	77	80
49	78	78
50	80	76
51	81	75
52	82	73
53	83	71
54	84	69
55	85	67
56	87	66
57	89	64
58	90	62
59	91	61
60	93	59
61	94	57
62	95	56
63	96	54
64	97	52
65	99	51
66	100	49
67	101	47
68	103	46
69	105	45
70	107	43
71	108	42
72	109	40
73	110	38
74	112	37
75	113	35
76	114	34
77	116	32
78	120	31
79	121	30
80	123	28
81	124	27
82	125	25
83	127	24
84	128	22
85	129	21
86	131	19
87	133	18
88	134	16
89	136	15
90	138	13
91	139	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	147	3
98	149	1
99	151	0
