iter	Passed	Remaining
0	23	23247
1	25	12725
2	29	9766
3	30	7615
4	31	6335
5	33	5481
6	34	4876
7	37	4648
8	39	4345
9	40	4024
10	41	3761
11	43	3547
12	44	3356
13	45	3195
14	46	3056
15	47	2938
16	51	2974
17	54	2991
18	56	2901
19	57	2823
20	60	2804
21	62	2798
22	64	2738
23	66	2693
24	68	2654
25	69	2600
26	70	2558
27	72	2527
28	74	2509
29	80	2596
30	81	2559
31	83	2521
32	85	2498
33	86	2465
34	87	2424
35	89	2395
36	90	2365
37	92	2331
38	93	2300
39	94	2277
40	96	2261
41	98	2249
42	99	2224
43	101	2201
44	102	2182
45	104	2157
46	105	2134
47	106	2113
48	107	2090
49	109	2075
50	111	2066
51	112	2045
52	114	2038
53	115	2021
54	116	2008
55	118	1990
56	119	1971
57	120	1957
58	122	1950
59	124	1951
60	126	1939
61	127	1923
62	128	1914
63	129	1901
64	131	1887
65	132	1874
66	133	1862
67	134	1848
68	136	1838
69	137	1824
70	139	1822
71	140	1809
72	141	1795
73	142	1783
74	144	1778
75	145	1768
76	146	1757
77	147	1745
78	148	1735
79	149	1724
80	151	1715
81	152	1704
82	153	1690
83	154	1684
84	155	1675
85	156	1666
86	158	1658
87	159	1653
88	160	1645
89	162	1639
90	163	1631
91	164	1623
92	165	1615
93	166	1607
94	168	1603
95	169	1597
96	171	1593
97	172	1585
98	173	1579
99	174	1574
100	176	1566
101	177	1560
102	178	1553
103	179	1546
104	180	1541
105	182	1538
106	183	1534
107	184	1526
108	185	1520
109	187	1515
110	188	1509
111	190	1507
112	191	1501
113	192	1495
114	193	1490
115	195	1489
116	196	1483
117	197	1478
118	198	1472
119	200	1467
120	201	1463
121	202	1456
122	203	1451
123	204	1446
124	206	1442
125	207	1437
126	208	1430
127	210	1434
128	211	1429
129	212	1425
130	214	1421
131	215	1416
132	216	1411
133	217	1408
134	219	1405
135	220	1400
136	222	1400
137	223	1396
138	224	1393
139	226	1389
140	227	1386
141	228	1378
142	229	1373
143	230	1370
144	231	1365
145	232	1360
146	233	1356
147	237	1365
148	239	1365
149	240	1363
150	242	1362
151	243	1359
152	245	1358
153	246	1356
154	248	1354
155	249	1350
156	251	1347
157	252	1343
158	254	1346
159	255	1343
160	256	1337
161	257	1334
162	259	1331
163	260	1327
164	261	1324
165	263	1322
166	264	1318
167	265	1316
168	267	1314
169	268	1311
170	270	1309
171	271	1305
172	272	1304
173	275	1306
174	276	1303
175	278	1301
176	279	1298
177	280	1295
178	282	1293
179	283	1291
180	284	1287
181	285	1285
182	287	1282
183	288	1278
184	289	1275
185	291	1274
186	292	1272
187	293	1268
188	294	1265
189	297	1266
190	298	1263
191	299	1260
192	300	1258
193	302	1254
194	303	1251
195	305	1252
196	306	1249
197	307	1245
198	308	1243
199	310	1240
200	311	1238
201	312	1235
202	314	1233
203	315	1229
204	316	1226
205	317	1224
206	318	1220
207	320	1219
208	321	1217
209	323	1215
210	324	1212
211	325	1210
212	326	1208
213	328	1205
214	329	1202
215	330	1200
216	332	1198
217	333	1195
218	334	1192
219	335	1191
220	337	1188
221	339	1189
222	340	1187
223	342	1185
224	343	1183
225	345	1182
226	346	1179
227	347	1175
228	348	1173
229	349	1170
230	352	1172
231	353	1171
232	355	1169
233	356	1166
234	357	1164
235	358	1161
236	360	1159
237	361	1156
238	362	1153
239	363	1151
240	364	1149
241	366	1146
242	367	1144
243	368	1143
244	370	1140
245	371	1139
246	373	1137
247	374	1135
248	375	1133
249	377	1131
250	378	1129
251	379	1127
252	380	1124
253	382	1123
254	384	1122
255	386	1122
256	387	1120
257	388	1118
258	389	1115
259	391	1114
260	393	1113
261	394	1111
262	397	1113
263	398	1110
264	399	1108
265	400	1106
266	402	1103
267	403	1101
268	404	1099
269	405	1096
270	406	1094
271	407	1091
272	409	1091
273	411	1090
274	413	1088
275	414	1086
276	415	1084
277	416	1082
278	418	1080
279	419	1078
280	420	1076
281	421	1074
282	423	1072
283	424	1069
284	427	1071
285	428	1069
286	429	1067
287	432	1068
288	433	1066
289	434	1064
290	436	1062
291	437	1059
292	438	1057
293	439	1056
294	441	1054
295	442	1052
296	443	1049
297	444	1047
298	445	1045
299	447	1043
300	448	1040
301	449	1038
302	450	1036
303	452	1035
304	453	1033
305	454	1031
306	456	1029
307	457	1027
308	459	1027
309	460	1025
310	461	1023
311	462	1020
312	464	1019
313	465	1017
314	466	1015
315	467	1012
316	469	1011
317	470	1009
318	471	1007
319	473	1005
320	474	1003
321	476	1002
322	477	1000
323	478	998
324	480	997
325	481	995
326	483	994
327	485	995
328	486	992
329	488	991
330	489	988
331	490	987
332	491	985
333	493	983
334	494	981
335	495	979
336	496	977
337	498	975
338	499	974
339	500	972
340	502	970
341	503	968
342	504	966
343	505	964
344	507	963
345	508	961
346	509	958
347	510	956
348	511	954
349	514	954
350	515	952
351	516	951
352	517	949
353	518	947
354	520	945
355	521	944
356	524	944
357	525	942
358	526	940
359	527	938
360	529	936
361	530	934
362	531	932
363	532	930
364	534	929
365	535	927
366	536	925
367	537	923
368	538	921
369	539	919
370	541	917
371	542	916
372	543	913
373	544	912
374	546	911
375	548	909
376	548	907
377	549	905
378	550	902
379	551	900
380	552	898
381	553	895
382	554	893
383	555	890
384	556	888
385	557	887
386	558	884
387	559	882
388	560	879
389	561	877
390	562	875
391	563	873
392	563	870
393	564	868
394	565	866
395	566	864
396	567	861
397	568	859
398	569	857
399	570	855
400	571	853
401	572	851
402	573	849
403	574	847
404	575	845
405	576	843
406	577	841
407	578	839
408	579	836
409	580	834
410	581	832
411	582	830
412	583	828
413	584	826
414	585	824
415	586	823
416	587	821
417	589	820
418	590	818
419	591	816
420	592	814
421	593	812
422	594	810
423	595	808
424	596	806
425	597	804
426	598	802
427	598	800
428	600	798
429	601	797
430	602	795
431	603	793
432	604	792
433	605	790
434	606	788
435	607	786
436	608	784
437	609	782
438	610	780
439	611	777
440	612	776
441	613	774
442	614	772
443	615	771
444	617	770
445	618	768
446	619	766
447	620	765
448	621	763
449	623	761
450	624	759
451	625	757
452	625	755
453	626	754
454	627	752
455	629	750
456	630	749
457	632	748
458	633	746
459	634	744
460	635	743
461	637	741
462	638	740
463	639	738
464	640	736
465	641	735
466	642	733
467	644	732
468	645	730
469	645	728
470	646	726
471	647	724
472	649	723
473	649	721
474	650	719
475	651	717
476	652	715
477	653	713
478	654	712
479	655	710
480	657	709
481	658	707
482	659	706
483	660	704
484	661	702
485	662	700
486	663	699
487	664	697
488	665	695
489	666	694
490	667	692
491	668	690
492	669	688
493	671	687
494	674	688
495	675	686
496	676	685
497	677	683
498	678	681
499	679	679
500	680	678
501	681	676
502	682	674
503	683	672
504	685	671
505	686	670
506	688	669
507	689	667
508	690	665
509	691	664
510	692	662
511	693	661
512	694	659
513	695	657
514	696	656
515	697	654
516	698	652
517	700	651
518	701	649
519	702	648
520	703	647
521	704	645
522	705	643
523	706	642
524	707	640
525	709	639
526	710	637
527	711	636
528	712	634
529	713	632
530	714	630
531	715	629
532	716	627
533	717	626
534	718	624
535	719	623
536	721	621
537	721	619
538	723	618
539	724	616
540	725	615
541	726	613
542	727	611
543	728	610
544	728	608
545	729	606
546	731	605
547	732	603
548	733	602
549	734	600
550	735	598
551	736	597
552	737	595
553	738	594
554	739	592
555	740	591
556	741	589
557	742	587
558	743	586
559	744	584
560	745	583
561	747	582
562	748	580
563	749	579
564	750	577
565	752	577
566	754	576
567	755	574
568	756	573
569	757	571
570	758	570
571	760	568
572	761	567
573	762	566
574	763	564
575	765	563
576	765	561
577	766	559
578	767	558
579	768	556
580	769	555
581	770	553
582	771	551
583	772	550
584	773	548
585	774	547
586	775	545
587	776	544
588	777	542
589	779	541
590	780	540
591	781	538
592	782	536
593	783	535
594	783	533
595	784	532
596	785	530
597	786	529
598	787	527
599	788	525
600	790	524
601	791	523
602	792	521
603	793	520
604	795	519
605	796	517
606	797	516
607	798	514
608	799	513
609	800	511
610	800	509
611	801	508
612	802	506
613	803	505
614	805	504
615	806	502
616	807	501
617	808	499
618	809	497
619	809	496
620	810	494
621	811	493
622	812	491
623	813	490
624	814	488
625	815	487
626	817	486
627	818	484
628	820	483
629	821	482
630	823	481
631	824	480
632	825	478
633	827	477
634	828	476
635	829	474
636	830	473
637	831	471
638	832	470
639	833	468
640	834	467
641	835	466
642	836	464
643	837	463
644	838	461
645	839	460
646	840	458
647	841	457
648	842	455
649	843	454
650	844	452
651	845	451
652	846	449
653	846	448
654	847	446
655	849	445
656	850	444
657	851	442
658	852	441
659	853	439
660	854	438
661	855	436
662	856	435
663	857	433
664	858	432
665	859	430
666	860	429
667	861	427
668	862	426
669	863	425
670	864	423
671	865	422
672	866	420
673	867	419
674	868	418
675	869	416
676	870	415
677	871	413
678	872	412
679	872	410
680	873	409
681	874	407
682	876	406
683	877	405
684	878	403
685	879	402
686	880	401
687	882	400
688	883	398
689	884	397
690	885	395
691	886	394
692	887	393
693	888	391
694	889	390
695	890	388
696	892	388
697	893	386
698	894	385
699	895	383
700	896	382
701	897	381
702	898	379
703	899	378
704	900	376
705	901	375
706	902	373
707	903	372
708	904	371
709	905	369
710	907	368
711	908	367
712	909	366
713	910	364
714	911	363
715	912	361
716	913	360
717	914	359
718	915	357
719	916	356
720	917	355
721	918	353
722	919	352
723	920	350
724	922	349
725	923	348
726	924	347
727	925	345
728	927	344
729	928	343
730	929	342
731	930	340
732	932	339
733	933	338
734	934	336
735	937	336
736	938	334
737	939	333
738	940	332
739	941	330
740	942	329
741	943	328
742	944	326
743	945	325
744	946	324
745	947	322
746	948	321
747	949	320
748	951	318
749	952	317
750	953	316
751	954	314
752	955	313
753	956	311
754	957	310
755	958	309
756	959	308
757	960	306
758	961	305
759	962	303
760	963	302
761	964	301
762	966	300
763	967	298
764	968	297
765	969	296
766	970	294
767	971	293
768	972	292
769	973	290
770	974	289
771	975	288
772	976	286
773	977	285
774	978	284
775	979	282
776	981	281
777	982	280
778	984	279
779	985	277
780	987	276
781	988	275
782	989	274
783	990	273
784	991	271
785	992	270
786	993	269
787	995	267
788	996	266
789	997	265
790	998	263
791	1000	262
792	1001	261
793	1002	260
794	1003	258
795	1004	257
796	1005	256
797	1006	254
798	1007	253
799	1009	252
800	1010	251
801	1011	249
802	1012	248
803	1014	247
804	1015	245
805	1016	244
806	1017	243
807	1018	242
808	1019	240
809	1021	239
810	1022	238
811	1024	237
812	1025	235
813	1027	234
814	1028	233
815	1029	232
816	1031	230
817	1032	229
818	1033	228
819	1035	227
820	1036	225
821	1037	224
822	1038	223
823	1039	222
824	1041	220
825	1042	219
826	1043	218
827	1044	216
828	1045	215
829	1046	214
830	1047	212
831	1048	211
832	1049	210
833	1050	209
834	1051	207
835	1053	206
836	1054	205
837	1055	204
838	1056	202
839	1057	201
840	1058	200
841	1059	198
842	1060	197
843	1062	196
844	1063	194
845	1064	193
846	1065	192
847	1066	191
848	1067	189
849	1069	188
850	1070	187
851	1071	186
852	1072	184
853	1073	183
854	1074	182
855	1075	180
856	1076	179
857	1077	178
858	1078	177
859	1079	175
860	1080	174
861	1082	173
862	1083	172
863	1084	170
864	1085	169
865	1086	168
866	1087	166
867	1089	165
868	1090	164
869	1091	163
870	1092	161
871	1093	160
872	1094	159
873	1095	158
874	1097	156
875	1098	155
876	1099	154
877	1100	152
878	1101	151
879	1103	150
880	1104	149
881	1105	147
882	1106	146
883	1107	145
884	1108	144
885	1109	142
886	1112	141
887	1113	140
888	1114	139
889	1115	137
890	1116	136
891	1117	135
892	1118	134
893	1119	132
894	1120	131
895	1121	130
896	1122	128
897	1124	127
898	1125	126
899	1126	125
900	1128	123
901	1129	122
902	1130	121
903	1131	120
904	1132	118
905	1133	117
906	1134	116
907	1135	115
908	1136	113
909	1138	112
910	1139	111
911	1141	110
912	1142	108
913	1143	107
914	1144	106
915	1145	105
916	1146	103
917	1147	102
918	1148	101
919	1149	99
920	1151	98
921	1152	97
922	1153	96
923	1155	95
924	1156	93
925	1157	92
926	1158	91
927	1159	89
928	1161	88
929	1162	87
930	1163	86
931	1164	84
932	1165	83
933	1166	82
934	1167	81
935	1168	79
936	1170	78
937	1171	77
938	1172	76
939	1173	74
940	1174	73
941	1175	72
942	1177	71
943	1178	69
944	1179	68
945	1180	67
946	1181	66
947	1182	64
948	1184	63
949	1185	62
950	1186	61
951	1187	59
952	1188	58
953	1189	57
954	1191	56
955	1192	54
956	1193	53
957	1194	52
958	1195	51
959	1196	49
960	1197	48
961	1199	47
962	1200	46
963	1201	44
964	1202	43
965	1203	42
966	1204	41
967	1205	39
968	1206	38
969	1208	37
970	1209	36
971	1210	34
972	1211	33
973	1212	32
974	1214	31
975	1215	29
976	1216	28
977	1217	27
978	1218	26
979	1219	24
980	1221	23
981	1222	22
982	1223	21
983	1224	19
984	1225	18
985	1226	17
986	1227	16
987	1229	14
